date_key,full_date,day_of_month,day_of_week,day_name,day_name_short,week_of_year,month,month_name,month_name_short,quarter,year,is_weekend,is_holiday,holiday_name,is_payday,is_month_start,is_month_end,is_quarter_start,is_quarter_end,fiscal_year,fiscal_quarter,fiscal_period,fiscal_week,is_fiscal_period_start,is_fiscal_period_end
20100101,2010-01-01,1,5,Jumat,Jum,53,1,Januari,Jan,1,2010,false,false,,true,true,false,true,false,2010,1,1,53,true,false
20100102,2010-01-02,2,6,Sabtu,Sab,53,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,53,false,false
20100103,2010-01-03,3,0,Minggu,Min,53,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,53,false,false
20100104,2010-01-04,4,1,Senin,Sen,1,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,1,false,false
20100105,2010-01-05,5,2,Selasa,Sel,1,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,1,false,false
20100106,2010-01-06,6,3,Rabu,Rab,1,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,1,false,false
20100107,2010-01-07,7,4,Kamis,Kam,1,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,1,false,false
20100108,2010-01-08,8,5,Jumat,Jum,1,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,1,false,false
20100109,2010-01-09,9,6,Sabtu,Sab,1,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,1,false,false
20100110,2010-01-10,10,0,Minggu,Min,1,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,1,false,false
20100111,2010-01-11,11,1,Senin,Sen,2,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,2,false,false
20100112,2010-01-12,12,2,Selasa,Sel,2,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,2,false,false
20100113,2010-01-13,13,3,Rabu,Rab,2,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,2,false,false
20100114,2010-01-14,14,4,Kamis,Kam,2,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,2,false,false
20100115,2010-01-15,15,5,Jumat,Jum,2,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,2,false,false
20100116,2010-01-16,16,6,Sabtu,Sab,2,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,2,false,false
20100117,2010-01-17,17,0,Minggu,Min,2,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,2,false,false
20100118,2010-01-18,18,1,Senin,Sen,3,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,3,false,false
20100119,2010-01-19,19,2,Selasa,Sel,3,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,3,false,false
20100120,2010-01-20,20,3,Rabu,Rab,3,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,3,false,false
20100121,2010-01-21,21,4,Kamis,Kam,3,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,3,false,false
20100122,2010-01-22,22,5,Jumat,Jum,3,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,3,false,false
20100123,2010-01-23,23,6,Sabtu,Sab,3,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,3,false,false
20100124,2010-01-24,24,0,Minggu,Min,3,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,3,false,false
20100125,2010-01-25,25,1,Senin,Sen,4,1,Januari,Jan,1,2010,false,false,,true,false,false,false,false,2010,1,1,4,false,false
20100126,2010-01-26,26,2,Selasa,Sel,4,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,4,false,false
20100127,2010-01-27,27,3,Rabu,Rab,4,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,4,false,false
20100128,2010-01-28,28,4,Kamis,Kam,4,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,4,false,false
20100129,2010-01-29,29,5,Jumat,Jum,4,1,Januari,Jan,1,2010,false,false,,false,false,false,false,false,2010,1,1,4,false,false
20100130,2010-01-30,30,6,Sabtu,Sab,4,1,Januari,Jan,1,2010,true,false,,false,false,false,false,false,2010,1,1,4,false,false
20100131,2010-01-31,31,0,Minggu,Min,4,1,Januari,Jan,1,2010,true,false,,false,false,true,false,false,2010,1,1,4,false,true
20100201,2010-02-01,1,1,Senin,Sen,5,2,Februari,Feb,1,2010,false,false,,true,true,false,false,false,2010,1,2,5,true,false
20100202,2010-02-02,2,2,Selasa,Sel,5,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,5,false,false
20100203,2010-02-03,3,3,Rabu,Rab,5,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,5,false,false
20100204,2010-02-04,4,4,Kamis,Kam,5,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,5,false,false
20100205,2010-02-05,5,5,Jumat,Jum,5,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,5,false,false
20100206,2010-02-06,6,6,Sabtu,Sab,5,2,Februari,Feb,1,2010,true,false,,false,false,false,false,false,2010,1,2,5,false,false
20100207,2010-02-07,7,0,Minggu,Min,5,2,Februari,Feb,1,2010,true,false,,false,false,false,false,false,2010,1,2,5,false,false
20100208,2010-02-08,8,1,Senin,Sen,6,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,6,false,false
20100209,2010-02-09,9,2,Selasa,Sel,6,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,6,false,false
20100210,2010-02-10,10,3,Rabu,Rab,6,2,Februari,Feb,1,2010,false,false,,false,false,false,false,false,2010,1,2,6,false,false
