time_key,full_time,hour,minute,second,hour_12,am_pm,quarter_hour,shift_id,peak_type,is_peak_hour,is_business_hour,is_order_cutoff
0,00:00:00,0,0,0,12,AM,00,non_business,,false,false,false
100,00:01:00,0,1,0,12,AM,00,non_business,,false,false,false
200,00:02:00,0,2,0,12,AM,00,non_business,,false,false,false
300,00:03:00,0,3,0,12,AM,00,non_business,,false,false,false
400,00:04:00,0,4,0,12,AM,00,non_business,,false,false,false
500,00:05:00,0,5,0,12,AM,00,non_business,,false,false,false
600,00:06:00,0,6,0,12,AM,00,non_business,,false,false,false
700,00:07:00,0,7,0,12,AM,00,non_business,,false,false,false
800,00:08:00,0,8,0,12,AM,00,non_business,,false,false,false
900,00:09:00,0,9,0,12,AM,00,non_business,,false,false,false
1000,00:10:00,0,10,0,12,AM,00,non_business,,false,false,false
1100,00:11:00,0,11,0,12,AM,00,non_business,,false,false,false
1200,00:12:00,0,12,0,12,AM,00,non_business,,false,false,false
1300,00:13:00,0,13,0,12,AM,00,non_business,,false,false,false
1400,00:14:00,0,14,0,12,AM,00,non_business,,false,false,false
1500,00:15:00,0,15,0,12,AM,15,non_business,,false,false,false
1600,00:16:00,0,16,0,12,AM,15,non_business,,false,false,false
1700,00:17:00,0,17,0,12,AM,15,non_business,,false,false,false
1800,00:18:00,0,18,0,12,AM,15,non_business,,false,false,false
1900,00:19:00,0,19,0,12,AM,15,non_business,,false,false,false
2000,00:20:00,0,20,0,12,AM,15,non_business,,false,false,false
2100,00:21:00,0,21,0,12,AM,15,non_business,,false,false,false
2200,00:22:00,0,22,0,12,AM,15,non_business,,false,false,false
2300,00:23:00,0,23,0,12,AM,15,non_business,,false,false,false
2400,00:24:00,0,24,0,12,AM,15,non_business,,false,false,false
2500,00:25:00,0,25,0,12,AM,15,non_business,,false,false,false
2600,00:26:00,0,26,0,12,AM,15,non_business,,false,false,false
2700,00:27:00,0,27,0,12,AM,15,non_business,,false,false,false
2800,00:28:00,0,28,0,12,AM,15,non_business,,false,false,false
2900,00:29:00,0,29,0,12,AM,15,non_business,,false,false,false
3000,00:30:00,0,30,0,12,AM,30,non_business,,false,false,false
3100,00:31:00,0,31,0,12,AM,30,non_business,,false,false,false
3200,00:32:00,0,32,0,12,AM,30,non_business,,false,false,false
3300,00:33:00,0,33,0,12,AM,30,non_business,,false,false,false
3400,00:34:00,0,34,0,12,AM,30,non_business,,false,false,false
3500,00:35:00,0,35,0,12,AM,30,non_business,,false,false,false
3600,00:36:00,0,36,0,12,AM,30,non_business,,false,false,false
3700,00:37:00,0,37,0,12,AM,30,non_business,,false,false,false
3800,00:38:00,0,38,0,12,AM,30,non_business,,false,false,false
3900,00:39:00,0,39,0,12,AM,30,non_business,,false,false,false
4000,00:40:00,0,40,0,12,AM,30,non_business,,false,false,false
4100,00:41:00,0,41,0,12,AM,30,non_business,,false,false,false
4200,00:42:00,0,42,0,12,AM,30,non_business,,false,false,false
4300,00:43:00,0,43,0,12,AM,30,non_business,,false,false,false
4400,00:44:00,0,44,0,12,AM,30,non_business,,false,false,false
4500,00:45:00,0,45,0,12,AM,45,non_business,,false,false,false
4600,00:46:00,0,46,0,12,AM,45,non_business,,false,false,false
4700,00:47:00,0,47,0,12,AM,45,non_business,,false,false,false
4800,00:48:00,0,48,0,12,AM,45,non_business,,false,false,false
4900,00:49:00,0,49,0,12,AM,45,non_business,,false,false,false
5000,00:50:00,0,50,0,12,AM,45,non_business,,false,false,false
5100,00:51:00,0,51,0,12,AM,45,non_business,,false,false,false
5200,00:52:00,0,52,0,12,AM,45,non_business,,false,false,false
5300,00:53:00,0,53,0,12,AM,45,non_business,,false,false,false
5400,00:54:00,0,54,0,12,AM,45,non_business,,false,false,false
5500,00:55:00,0,55,0,12,AM,45,non_business,,false,false,false
5600,00:56:00,0,56,0,12,AM,45,non_business,,false,false,false
5700,00:57:00,0,57,0,12,AM,45,non_business,,false,false,false
5800,00:58:00,0,58,0,12,AM,45,non_business,,false,false,false
5900,00:59:00,0,59,0,12,AM,45,non_business,,false,false,false
10000,01:00:00,1,0,0,1,AM,00,non_business,,false,false,false
10100,01:01:00,1,1,0,1,AM,00,non_business,,false,false,false
10200,01:02:00,1,2,0,1,AM,00,non_business,,false,false,false
10300,01:03:00,1,3,0,1,AM,00,non_business,,false,false,false
10400,01:04:00,1,4,0,1,AM,00,non_business,,false,false,false
10500,01:05:00,1,5,0,1,AM,00,non_business,,false,false,false
10600,01:06:00,1,6,0,1,AM,00,non_business,,false,false,false
10700,01:07:00,1,7,0,1,AM,00,non_business,,false,false,false
10800,01:08:00,1,8,0,1,AM,00,non_business,,false,false,false
10900,01:09:00,1,9,0,1,AM,00,non_business,,false,false,false
11000,01:10:00,1,10,0,1,AM,00,non_business,,false,false,false
11100,01:11:00,1,11,0,1,AM,00,non_business,,false,false,false
11200,01:12:00,1,12,0,1,AM,00,non_business,,false,false,false
11300,01:13:00,1,13,0,1,AM,00,non_business,,false,false,false
11400,01:14:00,1,14,0,1,AM,00,non_business,,false,false,false
